Title,Genre,Director
Avatar,Action Adventure Fantasy Science Fiction,James Cameron
Pirates of the Caribbean: At World's End,Adventure Fantasy Action,Gore Verbinski
Spectre,Action Adventure Crime,Sam Mendes
The Dark Knight Rises,Action Crime Drama Thriller,Christopher Nolan
John Carter,Action Adventure Science Fiction,Andrew Stanton
Spider-Man 3,Fantasy Action Adventure,Sam Raimi
Tangled,Animation Family,Byron Howard
Avengers: Age of Ultron,Action Adventure Science Fiction,Joss Whedon
Harry Potter and the Half-Blood Prince,Adventure Fantasy Family,David Yates

Superman Returns,Adventure Fantasy Action Science Fiction,Bryan Singer
QBatman v Superman: Dawn of Justice,Action Adventure Fantasy,Zack Snyderuantum of Solace,Adventure Action Thriller Crime,Marc Forster
Pirates of the Caribbean: Dead Man's Chest,Adventure Fantasy Action,Gore Verbinski
The Lone Ranger,Action Adventure Western,Gore Verbinski
Man of Steel,Action Adventure Fantasy Science Fiction,Zack Snyder
The Chronicles of Narnia: Prince Caspian,Adventure Family Fantasy,Andrew Adamson
The Avengers,Science Fiction Action Adventure,Joss Whedon
Pirates of the Caribbean: On Stranger Tides,Adventure Action Fantasy,Rob Marshall
Men in Black 3,Action Comedy Science Fiction,Barry Sonnenfeld
The Hobbit: The Battle of the Five Armies,Action Adventure Fantasy,Peter Jackson
The Amazing Spider-Man,Action Adventure Fantasy,Marc Webb
Robin Hood,Action Adventure,Ridley Scott
The Hobbit: The Desolation of Smaug,Adventure Fantasy,Peter Jackson
The Golden Compass,Adventure Fantasy,Chris Weitz
King Kong,Adventure Drama Action,Peter Jackson
Titanic,Drama Romance Thriller,James Cameron
Captain America: Civil War,Adventure Action Science Fiction,Anthony Russo
Battleship,Thriller Action Adventure Science Fiction,Peter Berg
Jurassic World,Action Adventure Science Fiction Thriller,Colin Trevorrow
Skyfall,Action Adventure Thriller,Sam Mendes
Spider-Man 2,Action Adventure Fantasy,Sam Raimi
Iron Man 3,Action Adventure Science Fiction,Shane Black
Alice in Wonderland,Family Fantasy Adventure,Tim Burton
X-Men: The Last Stand,Adventure Action Science Fiction Thriller,Brett Ratner
Monsters University,Animation Family,Dan Scanlon
Transformers: Revenge of the Fallen,Science Fiction Action Adventure,Michael Bay
Transformers: Age of Extinction,Science Fiction Action Adventure,Michael Bay
Oz: The Great and Powerful,Fantasy Adventure Family,Sam Raimi
The Amazing Spider-Man 2,Action Adventure Fantasy,Marc Webb
TRON: Legacy,Adventure Action Science Fiction,Joseph Kosinski
Cars 2,Animation Family Adventure Comedy,John Lasseter
Green Lantern,Adventure Action Thriller Science Fiction,Martin Campbell
Toy Story 3,Animation Family Comedy,Lee Unkrich
Terminator Salvation,Action Science Fiction Thriller,McG
Furious 7,Action,James Wan
World War Z,Action Drama Horror Science Fiction Thriller,Marc Forster
X-Men: Days of Future Past,Action Adventure Fantasy Science Fiction,Bryan Singer
Star Trek Into Darkness,Action Adventure Science Fiction,J.J. Abrams
Jack the Giant Slayer,Action Family Fantasy,Bryan Singer
The Great Gatsby,Drama Romance,Baz Luhrmann
Prince of Persia: The Sands of Time,Adventure Fantasy Action Romance,Mike Newell
Pacific Rim,Action Science Fiction Adventure,Guillermo del Toro
Transformers: Dark of the Moon,Action Science Fiction Adventure,Michael Bay
Indiana Jones and the Kingdom of the Crystal Skull,Adventure Action,Steven Spielberg
The Good Dinosaur,Adventure Animation Family,Peter Sohn
Brave,Animation Adventure Comedy Family Action,Brenda Chapman
Star Trek Beyond,Action Adventure Science Fiction,Justin Lin
WALL·E,Animation Family,Andrew Stanton
Rush Hour 3,Action Comedy Crime Thriller,Brett Ratner
2012,Action Adventure Science Fiction,Roland Emmerich
A Christmas Carol,Animation Drama,Robert Zemeckis
Jupiter Ascending,Science Fiction Fantasy Action Adventure,Lilly Wachowski
The Legend of Tarzan,Action Adventure,David Yates
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure Family Fantasy,Andrew Adamson
X-Men: Apocalypse,Science Fiction,Bryan Singer
The Dark Knight,Drama Action Crime Thriller,Christopher Nolan
Up,Animation Comedy Family Adventure,Pete Docter
Monsters vs Aliens,Animation Family Adventure Science Fiction,Conrad Vernon
Iron Man,Action Science Fiction Adventure,Jon Favreau
Hugo,Adventure Drama Family,Martin Scorsese
Wild Wild West,Action Adventure Comedy Science Fiction Western,Barry Sonnenfeld
The Mummy: Tomb of the Dragon Emperor,Adventure Action Fantasy,Rob Cohen
Suicide Squad,Action Adventure Crime Fantasy Science Fiction,David Ayer
Evan Almighty,Fantasy Comedy Family,Tom Shadyac
Edge of Tomorrow,Action Science Fiction,Doug Liman
Waterworld,Adventure Action,Kevin Reynolds
G.I. Joe: The Rise of Cobra,Adventure Action Thriller Science Fiction,Stephen Sommers
Inside Out,Drama Comedy Animation Family,Pete Docter
The Jungle Book,Family Adventure Drama Fantasy,Jon Favreau
Iron Man 2,Adventure Action Science Fiction,Jon Favreau
Snow White and the Huntsman,Adventure Fantasy Drama,Rupert Sanders
Maleficent,Fantasy Adventure Action Family Romance,Robert Stromberg
Dawn of the Planet of the Apes,Science Fiction Action Drama Thriller,Matt Reeves
The Lovers,Action Adventure Science Fiction Romance,Roland Joff\u00e9
47 Ronin,Drama Action Adventure Fantasy,Carl Rinsch
Captain America: The Winter Soldier,Action Adventure Science Fiction,Anthony Russo
Shrek Forever After,Comedy Adventure Fantasy Animation Family,Mike Mitchell
Tomorrowland,Adventure Family Mystery Science Fiction,Brad Bird
Big Hero 6,Adventure Family Animation Action Comedy,Chris Williams
Wreck-It Ralph,Family Animation Comedy Adventure,Rich Moore
The Polar Express,Adventure Animation Family Fantasy,Robert Zemeckis
Independence Day: Resurgence,Action Adventure Science Fiction,Roland Emmerich
How to Train Your Dragon,Fantasy Adventure Animation Family,Chris Sanders
Terminator 3: Rise of the Machines,Action Thriller Science Fiction,Jonathan Mostow
Guardians of the Galaxy,Action Science Fiction Adventure,James Gunn
Interstellar,Adventure Drama Science Fiction,Christopher Nolan
Inception,Action Thriller Science Fiction Mystery Adventure,Christopher Nolan
シン・ゴジラ,Action Adventure Drama Horror Science Fiction,Hideaki Anno
The Hobbit: An Unexpected Journey,Adventure Fantasy Action,Peter Jackson
The Fast and the Furious,Action Crime Thriller,Rob Cohen
The Curious Case of Benjamin Button,Fantasy Drama Thriller Mystery Romance,David Fincher
X-Men: First Class,Action Science Fiction Adventure,Matthew Vaughn
The Hunger Games: Mockingjay - Part 2,Action Adventure Science Fiction,Francis Lawrence
The Sorcerer's Apprentice,Fantasy Adventure Action Comedy Drama,Jon Turteltaub
Poseidon,Adventure Action Drama Thriller,Wolfgang Petersen
Alice Through the Looking Glass,Fantasy,James Bobin
Shrek the Third,Fantasy Adventure Animation Comedy Family,Chris Miller
Warcraft,Action Adventure Fantasy,Duncan Jones
Terminator Genisys,Science Fiction Action Thriller Adventure,Alan Taylor
The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure Family Fantasy,Michael Apted
Pearl Harbor,History Romance War,Michael Bay
Transformers,Adventure Science Fiction Action,Michael Bay
Alexander,War History Action Adventure Drama,Oliver Stone
Harry Potter and the Order of the Phoenix,Adventure Fantasy Family Mystery,David Yates
Harry Potter and the Goblet of Fire,Adventure Fantasy Family,Mike Newell
Hancock,Fantasy Action,Peter Berg
I Am Legend,Drama Horror Action Thriller Science Fiction,Francis Lawrence
Charlie and the Chocolate Factory,Adventure Comedy Family Fantasy,Tim Burton
Ratatouille,Animation Comedy Family Fantasy,Jan Pinkava
Batman Begins,Action Crime Drama,Christopher Nolan
Madagascar: Escape 2 Africa,Family Animation,Eric Darnell
Night at the Museum: Battle of the Smithsonian,Adventure Fantasy Action Comedy Family,Shawn Levy
X-Men Origins: Wolverine,Adventure Action Thriller Science Fiction,Gavin Hood
The Matrix Revolutions,Adventure Action Thriller Science Fiction,Lilly Wachowski
Frozen,Animation Adventure Family,Chris Buck
The Matrix Reloaded,Adventure Action Thriller Science Fiction,Lilly Wachowski
Thor: The Dark World,Action Adventure Fantasy,Alan Taylor
Mad Max: Fury Road,Action Adventure Science Fiction Thriller,George Miller
Angels & Demons,Thriller Mystery,Ron Howard
Thor,Adventure Fantasy Action,Kenneth Branagh
Bolt,Animation Family Adventure Comedy,Chris Williams
G-Force,Fantasy Action Adventure Family Comedy,Hoyt Yeatman
Wrath of the Titans,Adventure,Jonathan Liebesman
Dark Shadows,Comedy Fantasy,Tim Burton
Mission: Impossible - Rogue Nation,Action Adventure Thriller,Christopher McQuarrie
The Wolfman,Drama Horror Thriller,Joe Johnston
Bee Movie,Family Animation Adventure Comedy,Steve Hickner
Kung Fu Panda 2,Animation Family,Jennifer Yuh Nelson
The Last Airbender,Action Adventure Family Fantasy,M. Night Shyamalan
Mission: Impossible III,Adventure Action Thriller,J.J. Abrams
White House Down,Action Drama Thriller,Roland Emmerich
Mars Needs Moms,Adventure Animation Family,Simon Wells
Flushed Away,Adventure Animation Comedy Family,David Bowers
Pan,Adventure Family Fantasy,Joe Wright
Mr. Peabody & Sherman,Animation Adventure Family,Rob Minkoff
Troy,Adventure Drama War,Wolfgang Petersen
Madagascar 3: Europe's Most Wanted,Animation Family,Conrad Vernon
Die Another Day,Adventure Action Thriller,Lee Tamahori
Ghostbusters,Action Fantasy Comedy,Paul Feig
